Minute,Voltage
3,24.6
4,24.6
5,24.5
6,24.4
7,24.4
8,24.4
9,24.4
10,24.4
11,24.4
12,24.4
13,24.4
14,24.4
15,24.4
16,24.3
17,24.3
18,24.3
19,24.3
20,24.3
21,24.3
22,24.3
23,24.3
24,24.3
25,24.2
26,24.2
27,24.2
28,24.2
29,24.2
30,24.2
31,24.2
32,24.2
33,24.2
34,24.1
35,24.1
36,24.1
37,24.1
38,24.1
39,24.1
40,24.1
41,24.1
42,24.1
43,24.1
44,24
45,24
46,24
47,24
48,24
49,24
50,24
51,24
52,24
53,24
54,24
55,23.9
56,23.9
57,23.9
58,23.9
59,23.9
60,23.9
61,23.9
62,23.8
63,23.9
64,23.8
65,23.8
66,23.8
67,23.8
68,23.8
69,23.8
70,23.8
71,23.7
72,23.7
73,23.7
74,23.7
75,23.7
76,23.7
77,23.7
78,23.7
79,23.7
80,23.6
81,23.6
82,23.6
83,23.6
84,23.6
85,23.6
86,23.6
87,23.6
88,23.5
89,23.5
90,23.5
91,23.5
92,23.5
93,23.5
94,23.5
95,23.5
96,23.4
97,23.4
98,23.4
99,23.4
100,23.4
101,23.4
102,23.4
103,23.4
104,23.4
105,23.4
106,23.3
107,23.3
108,23.3
109,23.3
110,23.3
111,23.3
112,23.2
113,23.2
114,23.2
115,23.2
116,23.2
117,23.2
118,23.2
119,23.2
120,23.1
121,23.1
122,23.1
123,23.1
124,23.1
125,23.1
126,23.1
127,23
128,23
129,23
130,23
131,23
132,23
133,23
134,22.9
135,22.9
136,22.9
137,22.9
138,22.8
139,22.8
140,22.8
141,22.8
142,22.8
143,22.8
144,22.8
145,22.7
146,22.7
147,22.7
148,22.7
149,22.7
150,22.7
151,22.6
152,22.6
153,22.6
154,22.6
155,22.5
156,22.5
157,22.5
158,22.5
159,22.5
160,22.4
161,22.4
162,22.4
163,22.4
164,22.3
165,22.4
166,22.3
167,22.3
168,22.3
169,22.2
170,22.2
171,22.2
172,22.2
173,22.2
174,22.1
175,22.1
176,22.1
177,22
178,22
179,22
180,22
181,22
182,21.9
183,21.9
184,21.8
185,21.8
186,21.8
187,21.7
188,21.7
189,21.7
190,21.7
191,21.6
192,21.6
193,21.5
194,21.4
195,21.4
196,21.3
197,21.3
198,21.2
199,21.1
200,21
201,20.8
202,20.7
203,20.5
204,20.3
